route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
04250625-70,20250425,20250425-70-70861,70D - Uxbridge,,0,MDDS6105,388933,1,1,70D
04250625-67,20250425,20250425-67-67701,67 - Woodbine/404,,0,MDDS6105,388919,1,1,67
04250625-65,20250425,20250425-65-65520,65 - Union Station,,1,MDDS6105,388903,1,1,65
04250625-61,20250425,20250425-61-61721,61 - Bloomington GO,,0,MDDS6104,388899,1,1,61
04250625-65,20250425,20250425-65-65670,65 - Union Station,,1,MDDS6104,388903,1,1,65
04250625-66,20250425,20250425-66-66441,66 - East Gwillimbury GO,,0,MDDS6104,388916,1,1,66
04250625-66,20250425,20250425-66-66610,66 - Hwy. 407 Bus Term,,1,MDDS6104,388917,1,1,66
04250625-61,20250425,20250425-61-61341,61 - Bloomington GO,,0,MDDS6103,388899,1,1,61
04250625-61,20250425,20250425-61-61320,61 - Union Station,,1,MDDS6103,388900,1,1,61
04250625-67,20250425,20250425-67-67170,67 - Finch Terminal,,1,MDDS6103,388918,1,1,67
