route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
04250625-52,20250425,20250425-52-52120,52A - Hwy. 407 Bus Term,,1,steep010,388889,1,1,52A
04250625-32,20250425,20250425-32-32230,32 - Finch Terminal,,0,steep009,388842,1,1,32
04250625-32,20250425,20250425-32-32120,32 - Finch Terminal,,0,steep009,388842,1,1,32
04250625-94,20250425,20250425-94-94370,94 - Square One,,1,steep008,389500,1,1,94
04250625-41,20250425,20250425-41-41230,41 - Pickering GO,,0,steep008,388869,1,1,41
04250625-47,20250425,20250425-47-47041,47 - Hamilton GO,,1,steep008,388881,1,1,47
04250625-32,20250425,20250425-32-32301,32 - Trinity Common,,1,steep007,388840,1,1,32
04250625-41,20250425,20250425-41-41262,41A - Pickering GO,,0,steep007,388872,1,1,41A
04250625-94,20250425,20250425-94-94210,94 - Square One,,1,steep007,389500,1,1,94
04250625-41,20250425,20250425-41-41012,41A - Pickering GO,,0,steep007,388872,1,1,41A
04250625-21,20250425,20250425-21-21370,21C - Union Station,,0,steep006,388789,1,1,21C
04250625-21,20250425,20250425-21-21274,21A - Union Station,,0,steep006,388792,1,1,21A
04250625-48,20250425,20250425-48-48061,48 - U of Guelph,,1,steep006,388884,1,1,48
04250625-41,20250425,20250425-41-41122,41A - Pickering GO,,0,steep005,388872,1,1,41A
04250625-38,20250425,20250425-38-38220,38 - Malton GO,,1,steep005,388863,1,1,38
04250625-47,20250425,20250425-47-47191,47 - Hamilton GO,,1,steep004,388881,1,1,47
04250625-52,20250425,20250425-52-52150,52A - Hwy. 407 Bus Term,,1,steep004,388889,1,1,52A
04250625-41,20250425,20250425-41-41254,41C - Centennial College,,0,steep003,388873,1,1,41C
04250625-47,20250425,20250425-47-47103,47D - McMaster U,,1,steep003,388878,1,1,47D
04250625-25,20250425,20250425-25-25300,25 - Square One,,0,steep002,388805,1,1,25
04250625-30,20250425,20250425-30-30201,30 - U of Waterloo,,1,steep002,388824,1,1,30
04250625-54,20250425,20250425-54-54130,54 - Hwy. 407 Bus Term,,1,steep002,388891,1,1,54
04250625-70,20250425,20250425-70-70060,70B - Old Elm GO,,1,steep002,388930,1,1,70B
04250625-70,20250425,20250425-70-70261,70D - Uxbridge,,0,steep001,388933,1,1,70D
04250625-41,20250425,20250425-41-41062,41A - Pickering GO,,0,steep001,388872,1,1,41A
